i,time,loss,ground_time,compile_time,eval_time
2000,33.99555468559265,2.220983515702188,0.01344956648349762,0.00296164545416832,0.0025559353530406953
4000,66.86721229553223,1.862782876426354,0.013462007582187652,0.002977754592895508,0.0024874163269996644
6000,100.52379655838013,1.6635075249993243,0.01345721334218979,0.0028562871515750883,0.0025383637845516204
8000,135.25274181365967,1.587313122497173,0.013457693755626679,0.002942673444747925,0.0026263641119003297
10000,170.18923258781433,1.4982570580370957,0.013459048569202423,0.0028840971887111664,0.002656600087881088
12000,205.73457431793213,1.4649949114290066,0.013460625171661376,0.003022295981645584,0.00269705593585968
14000,241.33392477035522,1.4144765080765647,0.013450929224491119,0.0029115079343318938,0.002701604425907135
16000,276.34889936447144,1.3790417298580577,0.013455590546131133,0.002953685104846954,0.002662097901105881
18000,311.39199352264404,1.336799027872803,0.013456137955188751,0.0029193937480449677,0.0026666974127292635
20000,346.90445470809937,1.320403187281845,0.013465854287147522,0.0029610210955142973,0.002704693526029587
22000,380.8399975299835,1.2934082512722689,0.013461306989192963,0.002969243347644806,0.0025880772471427917
24000,415.2901294231415,1.2816565063369307,0.013451356828212737,0.0029318448901176452,0.00262754562497139
