i,time,loss,ground_time,compile_time,eval_time
2000,34.84305167198181,2.219546740218997,0.012437368631362916,0.002883373498916626,0.0026286748051643372
4000,69.51223611831665,1.8587666419651359,0.01242666757106781,0.0029478665590286254,0.0026168250143527986
6000,102.61144137382507,1.6593180944283958,0.012413720786571502,0.0029137292504310608,0.0025168435871601104
8000,136.16600346565247,1.583167369590141,0.012418763399124146,0.002848177492618561,0.0025466764569282534
10000,169.73409152030945,1.5014262177456985,0.012413203984498978,0.0028469304442405702,0.002551954507827759
12000,203.63719964027405,1.4596554376432904,0.012413062572479249,0.0028749052286148073,0.0025776340961456297
14000,238.590562582016,1.3925614062773384,0.012415342718362808,0.002896059274673462,0.002677627444267273
16000,274.08522391319275,1.3663056373881772,0.012424713134765624,0.002856894940137863,0.0027140123546123504
18000,309.609148979187,1.3243678711387148,0.012429432898759842,0.0028454869985580443,0.0027108615338802336
20000,345.0319962501526,1.301680447080147,0.01242101553082466,0.002903617024421692,0.002702428013086319
22000,380.4819407463074,1.3020717191149507,0.012414763927459717,0.0029100556671619415,0.0027075579762458803
24000,415.87785506248474,1.252669570039112,0.012405221641063691,0.0028944117426872255,0.0027072915434837343
