i,time,loss,ground_time,compile_time,eval_time
2000,32.75503921508789,2.205584589108825,0.016903947949409484,0.0029460096657276153,0.002470170944929123
4000,65.9305214881897,1.8540278593283146,0.016898825138807298,0.0028640423715114594,0.00252078315615654
6000,100.21160173416138,1.638526680377312,0.016903425484895707,0.0028805062472820283,0.0026005615592002867
8000,135.50317358970642,1.5863116355456877,0.01690496414899826,0.002910282611846924,0.0026888183653354645
10000,171.10971760749817,1.5182039747094969,0.01690331745147705,0.0029248163104057313,0.0027103522419929505
12000,206.62034678459167,1.4668364262262186,0.01690036216378212,0.0028535116314888,0.0027045343816280367
14000,241.56488299369812,1.405701916409962,0.01690697368979454,0.002966185241937637,0.002675265371799469
16000,276.2346439361572,1.3602032964253594,0.016905796140432357,0.002880384683609009,0.00266007062792778
18000,311.1872787475586,1.3245011952980712,0.016899657994508745,0.002852468729019165,0.002679482698440552
20000,346.4124357700348,1.3157347108607065,0.016895291686058043,0.002875490099191666,0.002687940239906311
22000,381.3441367149353,1.2831782682519028,0.01690622243285179,0.0028660701513290405,0.0026630596220493315
24000,416.89107489585876,1.2680566473052894,0.016904968917369843,0.002892519533634186,0.0027203563153743743
